,feature,rmse
170,"Gamma(gapi)__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",61.42631236504705
171,"Gamma(gapi)__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",98.71810909155272
172,"Gamma(gapi)__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",309.18696770742423
173,"Gamma(gapi)__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",118.11463574116469
174,"Gamma(gapi)__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",76.37910425982261
175,"Gamma(gapi)__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",97.32873025379948
176,"Gamma(gapi)__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",323.5573990192312
177,"Gamma(gapi)__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",117.77614470367546
178,"Gamma(gapi)__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",88.91897415837452
179,"Gamma(gapi)__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",92.63069380162933
180,"Gamma(gapi)__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",336.4570567006301
181,"Gamma(gapi)__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",117.8573025836009
182,"Gamma(gapi)__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",98.69346627330452
183,"Gamma(gapi)__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",85.20669773731989
184,"Gamma(gapi)__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",347.86640451935136
185,"Gamma(gapi)__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",118.36435964900801
186,"Gamma(gapi)__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",105.82338349091214
187,"Gamma(gapi)__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",75.76887329392754
188,"Gamma(gapi)__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",357.760723179939
189,Gamma(gapi)__spkt_welch_density__coeff_5,79.84897154877594
190,Gamma(gapi)__spkt_welch_density__coeff_8,69.56572901805156
191,Gamma(gapi)__ar_coefficient__coeff_0__k_10,109.72578736185079
192,Gamma(gapi)__ar_coefficient__coeff_1__k_10,116.81344073327959
193,Gamma(gapi)__ar_coefficient__coeff_2__k_10,119.58205076968305
194,Gamma(gapi)__ar_coefficient__coeff_3__k_10,118.6203562776784
195,Gamma(gapi)__ar_coefficient__coeff_4__k_10,117.6743624287884
196,Gamma(gapi)__ar_coefficient__coeff_5__k_10,119.02489046543432
197,Gamma(gapi)__ar_coefficient__coeff_6__k_10,118.6638695404967
198,Gamma(gapi)__ar_coefficient__coeff_7__k_10,117.9848929382249
199,Gamma(gapi)__ar_coefficient__coeff_8__k_10,118.84983553037632
200,Gamma(gapi)__ar_coefficient__coeff_9__k_10,118.44031638685394
201,Gamma(gapi)__ar_coefficient__coeff_10__k_10,118.4587848140703
202,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",118.45997014435457
203,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",113.57096787388986
204,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",116.67016867611174
205,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",116.77336954850021
206,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",118.48924054605986
207,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",112.48891308397924
208,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",116.55186079438411
209,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",116.28355530245405
210,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",118.50519201948565
211,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",111.95278336596567
212,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",116.47887030003884
213,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",116.01972815778134
214,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",118.54338659009444
215,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",111.46229144158085
216,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",116.41399409046856
217,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",115.83401934910773
218,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",118.50203393533808
219,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",111.26477440975881
220,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",116.38230247460388
221,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",115.77474517908789
222,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",118.4359394121716
223,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",114.64592271970213
224,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",116.98129378337697
225,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",117.08989190019321
226,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",118.54066513470254
227,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",112.73479897070524
228,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",116.63621050788952
229,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",116.2934270059865
230,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",118.58059368625833
231,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",111.85144957888211
232,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",116.48994660065766
233,"Gamma(gapi)__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",115.951257390424
234,"Gamma(gapi)__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",118.51102079306483
