DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
120.5,244.9382927,,,-1.33857323,,1.150418118,0.532412381,,,,,,120.488518,,,,
121,245.9546341,,,-1.344127476,,1.155191638,0.534621561,,,,,,120.9884703,,,,
121.5,246.9709756,,,-1.349681721,,1.159965157,0.536830741,,,,,,121.4884227,,,,
122,247.9873171,,,-1.355235967,,1.164738676,0.539039921,,,,,,121.988375,,,,
122.5,249.0036585,,,-1.360790213,,1.169512195,0.541249101,,,,,,122.4883274,,,,
123,250.02,,,-1.366344459,,1.174285714,0.543458281,,,,,,122.9882797,,,,
123.5,251.0363415,,,-1.371898704,,1.179059233,0.545667461,,,,,,123.4882321,,,,
124,252.0526829,,,-1.37745295,,1.183832753,0.547876641,,,,,,123.9881845,,,,
124.5,253.0690244,,,-1.383007196,,1.188606272,0.550085821,,,,,,124.4881368,,,,
125,254.0853659,,,-1.388561442,,1.193379791,0.552295001,,,,,,124.9880892,,,,
125.5,255.1017073,,,-1.394115687,,1.19815331,0.554504181,,,,,,125.4880415,,,,
126,256.1180488,,,-1.399669933,,1.202926829,0.556713361,,,,,,125.9879939,,,,
126.5,257.1343902,,,-1.405224179,,1.207700348,0.558922541,,,,,,126.4879462,,,,
127,258.1507317,,,-1.410778425,,1.212473868,0.561131721,,,,,,126.9878986,,,,
127.5,259.1670732,,,-1.416332671,,1.217247387,0.563340901,,,,,,127.4878509,,,,
128,260.1834146,,,-1.421886916,,1.222020906,0.565550081,,,,,,127.9878033,,,,
128.5,261.1997561,,,-1.427441162,,1.226794425,0.567759261,,,,,,128.4877557,,,,
129,262.2160976,,,-1.432995408,,1.231567944,0.569968441,,,,,,128.987708,,,,
129.5,263.232439,,,-1.438549654,,1.236341463,0.572177621,,,,,,129.4876604,,,,
130,264.2487805,,,-1.444103899,,1.241114983,0.574386801,,,,,,129.9876127,,,,
130.5,265.265122,,,-1.449658145,,1.245888502,0.576595981,,,,,,130.4875651,,,,
131,266.2814634,,,-1.455212391,,1.250662021,0.578805161,,,,,,130.9875174,,,,
131.5,267.2978049,,,-1.460766637,,1.25543554,0.581014341,,,,,,131.4874698,,,,
132,268.3141463,,,-1.466320882,,1.260209059,0.583223521,,,,,,131.9874222,,,,
132.5,269.3304878,,,-1.471875128,,1.264982578,0.585432701,,,,,,132.4873745,,,,
133,270.3468293,,,-1.477429374,,1.269756098,0.587641881,,,,,,132.9873269,,,,
133.5,271.3631707,,,-1.48298362,,1.274529617,0.589851061,,,,,,133.4872792,,,,
134,272.3795122,,,-1.488537866,,1.279303136,0.592060241,,,,,,133.9872316,,,,
134.5,273.3958537,,,-1.494092111,,1.284076655,0.594269421,,,,,,134.4871839,,,,
135,274.4121951,,,-1.499646357,,1.288850174,0.596478601,,,,,,134.9871363,,,,
135.5,275.4285366,,,-1.505200603,,1.293623693,0.598687781,,,,,,135.4870887,,,,
136,276.444878,,,-1.510754849,,1.298397213,0.600896961,,,,,,135.987041,,,,
136.5,277.4612195,,,-1.516309094,,1.303170732,0.603106141,,,,,,136.4869934,,,,
137,278.477561,,,-1.52186334,,1.307944251,0.605315321,,,,,,136.9869457,,,,
137.5,279.4939024,,,-1.527417586,,1.31271777,0.607524501,,,,,,137.4868981,,,,
138,280.5102439,,,-1.532971832,,1.317491289,0.609733681,,,,,,137.9868504,,,,
138.5,281.5265854,,,-1.538526077,,1.322264808,0.611942861,,,,,,138.4868028,,,,
139,282.5429268,,,-1.544080323,,1.327038328,0.614152041,,,,,,138.9867552,,,,
